date	Anger	Sad	Disgust	Surprise	Fear	Happy	Emotionless
20111001	0	6	0	0	0	1	21
20111002	0	0	0	1	0	3	24
20111003	5	0	3	4	0	14	16
20111004	1	0	5	10	0	8	23
20111005	0	0	2	5	1	5	27
20111006	0	0	3	2	0	4	25
20111007	1	0	5	1	0	8	17
20111008	0	0	0	7	0	25	7
20111009	0	0	7	0	0	7	30
20111010	0	0	0	2	0	11	13
20111011	0	6	13	3	1	0	12
20111012	12	8	0	12	6	2	11
20111013	6	0	7	4	0	4	28
20111014	0	13	1	11	0	9	6
20111015	3	10	13	4	0	8	15
20111016	6	19	5	1	0	10	14
20111017	0	0	6	14	0	12	12
20111018	1	1	5	4	0	4	33
20111019	0	0	13	4	0	10	29
20111020	0	1	4	2	0	12	7
20111021	2	0	0	1	0	5	11
20111022	26	0	12	0	5	0	1
20111023	1	1	10	0	2	0	28
20111024	3	20	5	2	0	10	16
20111025	0	2	3	4	0	13	2
20111026	0	1	6	5	0	7	11
20111027	1	2	0	4	0	6	7
20111028	3	0	0	8	0	10	8
20111029	0	0	0	0	2	14	1
20111030	2	0	0	10	1	11	5
20111031	0	1	0	6	9	0	0
20111032	6	0	7	7	4	2	25
20111033	8	13	10	4	3	0	13
20111034	1	12	5	9	1	0	18
20111035	2	7	0	11	4	0	27
20111036	9	0	11	6	7	0	13
20111037	4	3	0	9	7	4	8
20111038	3	5	1	9	9	2	7
20111039	4	0	0	5	16	2	3
20111040	18	6	8	7	0	0	11
20111041	13	6	1	6	13	0	10
20111042	11	15	2	0	7	0	20
20111043	2	0	8	8	8	7	6
20111044	4	0	0	0	21	0	0
20111045	4	9	0	7	20	0	1
20111046	5	18	11	1	3	0	1
20111047	0	6	0	0	5	0	0
20111048	0	2	0	0	12	0	0
20111049	0	13	0	0	10	0	0
20111050	0	0	0	0	12	0	0
20111051	0	6	0	0	16	0	0
20111052	9	6	4	3	11	1	4
20111053	0	22	0	0	1	15	2
20111054	0	14	0	0	0	0	0
20111055	0	12	6	0	0	0	0
20111056	0	5	9	0	0	15	2
20111057	0	0	0	0	0	31	0
