symbol,date,price,,,date,Anger,Happy,Sad,Surprise,Emotionless
anger,0,2,,,20111001,2,18,1,3,11
anger,3,3,,,20111002,3,14,0,1,36
anger,6,0,,,20111003,0,12,9,4,26
anger,9,4,,,20111004,4,8,7,2,34
disgust,0,3,,,,,,,,
disgust,3,0,,,,,,,,
disgust,6,0,,,,,,,,
disgust,9,0,,,,,,,,
emotionless,0,11,,,,,,,,
emotionless,3,36,,,,,,,,
emotionless,6,26,,,,,,,,
emotionless,9,34,,,,,,,,
fear,0,5,,,,,,,,
fear,3,1,,,,,,,,
fear,6,0,,,,,,,,
fear,9,1,,,,,,,,
happy,0,18,,,,,,,,
happy,3,14,,,,,,,,
happy,6,12,,,,,,,,
happy,9,8,,,,,,,,
sad,0,1,,,,,,,,
sad,3,0,,,,,,,,
sad,6,9,,,,,,,,
sad,9,7,,,,,,,,
surprise,0,3,,,,,,,,
surprise,3,1,,,,,,,,
surprise,6,4,,,,,,,,
surprise,9,2,,,,,,,,
