Emotions,date,freq
anger,0,0
anger,3,0
anger,6,5
anger,9,1
anger,12,0
anger,15,0
anger,18,1
anger,21,0
anger,24,0
anger,27,0
anger,30,0
anger,33,12
anger,36,6
anger,39,0
anger,42,3
anger,45,6
anger,48,0
anger,51,1
anger,54,0
anger,57,0
anger,60,2
anger,63,26
anger,66,1
anger,69,3
anger,72,0
anger,75,0
anger,78,1
anger,81,3
anger,84,0
anger,87,2
anger,90,0
anger,93,6
anger,96,8
anger,99,1
anger,102,2
anger,105,9
anger,108,4
anger,111,3
anger,114,4
anger,117,18
anger,120,13
anger,123,11
anger,126,2
anger,129,4
anger,132,4
anger,135,5
anger,138,0
anger,141,0
anger,144,0
anger,147,0
anger,150,0
anger,153,9
anger,156,0
anger,159,0
anger,162,0
anger,165,0
anger,168,0
disgust,0,0
disgust,3,0
disgust,6,3
disgust,9,5
disgust,12,2
disgust,15,3
disgust,18,5
disgust,21,0
disgust,24,7
disgust,27,0
disgust,30,13
disgust,33,0
disgust,36,7
disgust,39,1
disgust,42,13
disgust,45,5
disgust,48,6
disgust,51,5
disgust,54,13
disgust,57,4
disgust,60,0
disgust,63,12
disgust,66,10
disgust,69,5
disgust,72,3
disgust,75,6
disgust,78,0
disgust,81,0
disgust,84,0
disgust,87,0
disgust,90,0
disgust,93,7
disgust,96,10
disgust,99,5
disgust,102,0
disgust,105,11
disgust,108,0
disgust,111,1
disgust,114,0
disgust,117,8
disgust,120,1
disgust,123,2
disgust,126,8
disgust,129,0
disgust,132,0
disgust,135,11
disgust,138,0
disgust,141,0
disgust,144,0
disgust,147,0
disgust,150,0
disgust,153,4
disgust,156,0
disgust,159,0
disgust,162,6
disgust,165,9
disgust,168,0
emotionless,0,21
emotionless,3,24
emotionless,6,16
emotionless,9,23
emotionless,12,27
emotionless,15,25
emotionless,18,17
emotionless,21,7
emotionless,24,30
emotionless,27,13
emotionless,30,12
emotionless,33,11
emotionless,36,28
emotionless,39,6
emotionless,42,15
emotionless,45,14
emotionless,48,12
emotionless,51,33
emotionless,54,29
emotionless,57,7
emotionless,60,11
emotionless,63,1
emotionless,66,28
emotionless,69,16
emotionless,72,2
emotionless,75,11
emotionless,78,7
emotionless,81,8
emotionless,84,1
emotionless,87,5
emotionless,90,0
emotionless,93,25
emotionless,96,13
emotionless,99,18
emotionless,102,27
emotionless,105,13
emotionless,108,8
emotionless,111,7
emotionless,114,3
emotionless,117,11
emotionless,120,10
emotionless,123,20
emotionless,126,6
emotionless,129,0
emotionless,132,1
emotionless,135,1
emotionless,138,0
emotionless,141,0
emotionless,144,0
emotionless,147,0
emotionless,150,0
emotionless,153,4
emotionless,156,2
emotionless,159,0
emotionless,162,0
emotionless,165,2
emotionless,168,0
fear,0,0
fear,3,0
fear,6,0
fear,9,0
fear,12,1
fear,15,0
fear,18,0
fear,21,0
fear,24,0
fear,27,0
fear,30,1
fear,33,6
fear,36,0
fear,39,0
fear,42,0
fear,45,0
fear,48,0
fear,51,0
fear,54,0
fear,57,0
fear,60,0
fear,63,5
fear,66,2
fear,69,0
fear,72,0
fear,75,0
fear,78,0
fear,81,0
fear,84,2
fear,87,1
fear,90,9
fear,93,4
fear,96,3
fear,99,1
fear,102,4
fear,105,7
